Gene	Chr	Strand	Fit.start	Fit.end	polyA_ID	PeakClass	OriginalPeak	DataOrigin	exon.intron
Pecam1	11	-1	106662336	106662726	Pecam1:11:106662336-106662726:-1	Unique_TIP-example-Sham	Pecam1:11:106662336-106662726:-1	TIP-example-Sham	non-juncs
Pecam1	11	-1	106696701	106697193	Pecam1:11:106696701-106697193:-1	Unique_TIP-example-Sham	Pecam1:11:106696701-106697193:-1	TIP-example-Sham	non-juncs
Pecam1	11	-1	106699602	106700004	Pecam1:11:106699602-106700004:-1	Unique_TIP-example-Sham	Pecam1:11:106699602-106700004:-1	TIP-example-Sham	non-juncs
Pecam1	11	-1	106680262	106681282	Pecam1:11:106680262-106681282:-1	Unique_TIP-example-Sham	Pecam1:11:106680262-106681282:-1	TIP-example-Sham	non-juncs
Pecam1	11	-1	106662956	106663364	Pecam1:11:106662956-106663364:-1	Unique_TIP-example-Sham	Pecam1:11:106662956-106663364:-1	TIP-example-Sham	non-juncs
Pecam1	11	-1	106714376	106714820	Pecam1:11:106714376-106714820:-1	Unique_TIP-example-Sham	Pecam1:11:106714376-106714820:-1	TIP-example-Sham	non-juncs
Pecam1	11	-1	106686817	106687195	Pecam1:11:106686817-106687195:-1	Unique_TIP-example-Sham	Pecam1:11:106686817-106687195:-1	TIP-example-Sham	non-juncs
Pnkd	1	1	74287464	74287842	Pnkd:1:74287464-74287842:1	Unique_TIP-example-Sham	Pnkd:1:74287464-74287842:1	TIP-example-Sham	non-juncs
Thy1	9	1	44046560	44047022	Thy1:9:44046560-44047022:1	Unique_TIP-example-Sham	Thy1:9:44046560-44047022:1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36745799	36746189	Dlc1:8:36745799-36746189:-1	Unique_TIP-example-Sham	Dlc1:8:36745799-36746189:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36728396	36728828	Dlc1:8:36728396-36728828:-1	Unique_TIP-example-Sham	Dlc1:8:36728396-36728828:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36667954	36668386	Dlc1:8:36667954-36668386:-1	Unique_TIP-example-Sham	Dlc1:8:36667954-36668386:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36902368	36903118	Dlc1:8:36902368-36903118:-1	Unique_TIP-example-Sham	Dlc1:8:36902368-36903118:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36701605	36702073	Dlc1:8:36701605-36702073:-1	Unique_TIP-example-Sham	Dlc1:8:36701605-36702073:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36849117	36849513	Dlc1:8:36849117-36849513:-1	Unique_TIP-example-Sham	Dlc1:8:36849117-36849513:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36580940	36581372	Dlc1:8:36580940-36581372:-1	Unique_TIP-example-Sham	Dlc1:8:36580940-36581372:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36687377	36687815	Dlc1:8:36687377-36687815:-1	Unique_TIP-example-Sham	Dlc1:8:36687377-36687815:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36758787	36759201	Dlc1:8:36758787-36759201:-1	Unique_TIP-example-Sham	Dlc1:8:36758787-36759201:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36690939	36691419	Dlc1:8:36690939-36691419:-1	Unique_TIP-example-Sham	Dlc1:8:36690939-36691419:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36730752	36731082	Dlc1:8:36730752-36731082:-1	Unique_TIP-example-Sham	Dlc1:8:36730752-36731082:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36931702	36932116	Dlc1:8:36931702-36932116:-1	Unique_TIP-example-Sham	Dlc1:8:36931702-36932116:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36644989	36645397	Dlc1:8:36644989-36645397:-1	Unique_TIP-example-Sham	Dlc1:8:36644989-36645397:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36720058	36720454	Dlc1:8:36720058-36720454:-1	Unique_TIP-example-Sham	Dlc1:8:36720058-36720454:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36738886	36739318	Dlc1:8:36738886-36739318:-1	Unique_TIP-example-Sham	Dlc1:8:36738886-36739318:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36902190	36902496	Dlc1:8:36902190-36902496:-1	Unique_TIP-example-Sham	Dlc1:8:36902190-36902496:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36731114	36731564	Dlc1:8:36731114-36731564:-1	Unique_TIP-example-Sham	Dlc1:8:36731114-36731564:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36573599	36574001	Dlc1:8:36573599-36574001:-1	Unique_TIP-example-Sham	Dlc1:8:36573599-36574001:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36649404	36649788	Dlc1:8:36649404-36649788:-1	Unique_TIP-example-Sham	Dlc1:8:36649404-36649788:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36644533	36644995	Dlc1:8:36644533-36644995:-1	Unique_TIP-example-Sham	Dlc1:8:36644533-36644995:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36573063	36573489	Dlc1:8:36573063-36573489:-1	Unique_TIP-example-Sham	Dlc1:8:36573063-36573489:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36633840	36634242	Dlc1:8:36633840-36634242:-1	Unique_TIP-example-Sham	Dlc1:8:36633840-36634242:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36722363	36722789	Dlc1:8:36722363-36722789:-1	Unique_TIP-example-Sham	Dlc1:8:36722363-36722789:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36680292	36680640	Dlc1:8:36680292-36680640:-1	Unique_TIP-example-Sham	Dlc1:8:36680292-36680640:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36755685	36756099	Dlc1:8:36755685-36756099:-1	Unique_TIP-example-Sham	Dlc1:8:36755685-36756099:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36713205	36713613	Dlc1:8:36713205-36713613:-1	Unique_TIP-example-Sham	Dlc1:8:36713205-36713613:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36631141	36631399	Dlc1:8:36631141-36631399:-1	Unique_TIP-example-Sham	Dlc1:8:36631141-36631399:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36901655	36902039	Dlc1:8:36901655-36902039:-1	Unique_TIP-example-Sham	Dlc1:8:36901655-36902039:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36936594	36937194	Dlc1:8:36936594-36937194:-1	Unique_TIP-example-Sham	Dlc1:8:36936594-36937194:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36917518	36917860	Dlc1:8:36917518-36917860:-1	Unique_TIP-example-Sham	Dlc1:8:36917518-36917860:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36749592	36750030	Dlc1:8:36749592-36750030:-1	Unique_TIP-example-Sham	Dlc1:8:36749592-36750030:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36762912	36763578	Dlc1:8:36762912-36763578:-1	Unique_TIP-example-Sham	Dlc1:8:36762912-36763578:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36741209	36741617	Dlc1:8:36741209-36741617:-1	Unique_TIP-example-Sham	Dlc1:8:36741209-36741617:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36635485	36635917	Dlc1:8:36635485-36635917:-1	Unique_TIP-example-Sham	Dlc1:8:36635485-36635917:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36792386	36792878	Dlc1:8:36792386-36792878:-1	Unique_TIP-example-Sham	Dlc1:8:36792386-36792878:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36879016	36879478	Dlc1:8:36879016-36879478:-1	Unique_TIP-example-Sham	Dlc1:8:36879016-36879478:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36662310	36662718	Dlc1:8:36662310-36662718:-1	Unique_TIP-example-Sham	Dlc1:8:36662310-36662718:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36774968	36775334	Dlc1:8:36774968-36775334:-1	Unique_TIP-example-Sham	Dlc1:8:36774968-36775334:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36811236	36811806	Dlc1:8:36811236-36811806:-1	Unique_TIP-example-Sham	Dlc1:8:36811236-36811806:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36928037	36928511	Dlc1:8:36928037-36928511:-1	Unique_TIP-example-Sham	Dlc1:8:36928037-36928511:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36594963	36595491	Dlc1:8:36594963-36595491:-1	Unique_TIP-example-Sham	Dlc1:8:36594963-36595491:-1	TIP-example-Sham	junctions
Dlc1	8	-1	36610695	36611145	Dlc1:8:36610695-36611145:-1	Unique_TIP-example-Sham	Dlc1:8:36610695-36611145:-1	TIP-example-Sham	junctions
Pdgfra	5	1	75158897	75159293	Pdgfra:5:75158897-75159293:1	Unique_TIP-example-Sham	Pdgfra:5:75158897-75159293:1	TIP-example-Sham	non-juncs
Pdgfra	5	1	75195294	75195966	Pdgfra:5:75195294-75195966:1	Unique_TIP-example-Sham	Pdgfra:5:75195294-75195966:1	TIP-example-Sham	non-juncs
Pdgfra	5	1	75183070	75183532	Pdgfra:5:75183070-75183532:1	Unique_TIP-example-Sham	Pdgfra:5:75183070-75183532:1	TIP-example-Sham	non-juncs
Pdgfra	5	1	75167082	75167490	Pdgfra:5:75167082-75167490:1	Unique_TIP-example-Sham	Pdgfra:5:75167082-75167490:1	TIP-example-Sham	non-juncs
Pdgfra	5	1	75176944	75177394	Pdgfra:5:75176944-75177394:1	Unique_TIP-example-Sham	Pdgfra:5:75176944-75177394:1	TIP-example-Sham	non-juncs
Lrrc58	16	1	37871486	37871846	Lrrc58:16:37871486-37871846:1	Unique_TIP-example-Sham	Lrrc58:16:37871486-37871846:1	TIP-example-Sham	non-juncs
Mast4	13	-1	103300497	103300887	Mast4:13:103300497-103300887:-1	Unique_TIP-example-Sham	Mast4:13:103300497-103300887:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	103232618	103233026	Mast4:13:103232618-103233026:-1	Unique_TIP-example-Sham	Mast4:13:103232618-103233026:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	103263865	103264273	Mast4:13:103263865-103264273:-1	Unique_TIP-example-Sham	Mast4:13:103263865-103264273:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	103224743	103224965	Mast4:13:103224743-103224965:-1	Unique_TIP-example-Sham	Mast4:13:103224743-103224965:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102895816	102896218	Mast4:13:102895816-102896218:-1	Unique_TIP-example-Sham	Mast4:13:102895816-102896218:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	103128647	103129073	Mast4:13:103128647-103129073:-1	Unique_TIP-example-Sham	Mast4:13:103128647-103129073:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102942471	102942777	Mast4:13:102942471-102942777:-1	Unique_TIP-example-Sham	Mast4:13:102942471-102942777:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	103313671	103314079	Mast4:13:103313671-103314079:-1	Unique_TIP-example-Sham	Mast4:13:103313671-103314079:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102958417	102958753	Mast4:13:102958417-102958753:-1	Unique_TIP-example-Sham	Mast4:13:102958417-102958753:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102944469	102944847	Mast4:13:102944469-102944847:-1	Unique_TIP-example-Sham	Mast4:13:102944469-102944847:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	103063688	103063970	Mast4:13:103063688-103063970:-1	Unique_TIP-example-Sham	Mast4:13:103063688-103063970:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102967491	102967881	Mast4:13:102967491-102967881:-1	Unique_TIP-example-Sham	Mast4:13:102967491-102967881:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102924501	102924831	Mast4:13:102924501-102924831:-1	Unique_TIP-example-Sham	Mast4:13:102924501-102924831:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102907936	102908332	Mast4:13:102907936-102908332:-1	Unique_TIP-example-Sham	Mast4:13:102907936-102908332:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	103060752	103061112	Mast4:13:103060752-103061112:-1	Unique_TIP-example-Sham	Mast4:13:103060752-103061112:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102808120	102808546	Mast4:13:102808120-102808546:-1	Unique_TIP-example-Sham	Mast4:13:102808120-102808546:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102963988	102964306	Mast4:13:102963988-102964306:-1	Unique_TIP-example-Sham	Mast4:13:102963988-102964306:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102733339	102733783	Mast4:13:102733339-102733783:-1	Unique_TIP-example-Sham	Mast4:13:102733339-102733783:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	103262715	103263093	Mast4:13:103262715-103263093:-1	Unique_TIP-example-Sham	Mast4:13:103262715-103263093:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102953709	102954411	Mast4:13:102953709-102954411:-1	Unique_TIP-example-Sham	Mast4:13:102953709-102954411:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102973666	102974080	Mast4:13:102973666-102974080:-1	Unique_TIP-example-Sham	Mast4:13:102973666-102974080:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102823880	102824258	Mast4:13:102823880-102824258:-1	Unique_TIP-example-Sham	Mast4:13:102823880-102824258:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	103100922	103101426	Mast4:13:103100922-103101426:-1	Unique_TIP-example-Sham	Mast4:13:103100922-103101426:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102968584	102968962	Mast4:13:102968584-102968962:-1	Unique_TIP-example-Sham	Mast4:13:102968584-102968962:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102997862	102998210	Mast4:13:102997862-102998210:-1	Unique_TIP-example-Sham	Mast4:13:102997862-102998210:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102866493	102866889	Mast4:13:102866493-102866889:-1	Unique_TIP-example-Sham	Mast4:13:102866493-102866889:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	103279029	103279437	Mast4:13:103279029-103279437:-1	Unique_TIP-example-Sham	Mast4:13:103279029-103279437:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102853290	102853710	Mast4:13:102853290-102853710:-1	Unique_TIP-example-Sham	Mast4:13:102853290-102853710:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102973169	102973541	Mast4:13:102973169-102973541:-1	Unique_TIP-example-Sham	Mast4:13:102973169-102973541:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	103032751	103033285	Mast4:13:103032751-103033285:-1	Unique_TIP-example-Sham	Mast4:13:103032751-103033285:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102986253	102986817	Mast4:13:102986253-102986817:-1	Unique_TIP-example-Sham	Mast4:13:102986253-102986817:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	103138989	103139379	Mast4:13:103138989-103139379:-1	Unique_TIP-example-Sham	Mast4:13:103138989-103139379:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102839011	102839449	Mast4:13:102839011-102839449:-1	Unique_TIP-example-Sham	Mast4:13:102839011-102839449:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102769485	102769959	Mast4:13:102769485-102769959:-1	Unique_TIP-example-Sham	Mast4:13:102769485-102769959:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	103233060	103233456	Mast4:13:103233060-103233456:-1	Unique_TIP-example-Sham	Mast4:13:103233060-103233456:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102977039	102977471	Mast4:13:102977039-102977471:-1	Unique_TIP-example-Sham	Mast4:13:102977039-102977471:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102964777	102965191	Mast4:13:102964777-102965191:-1	Unique_TIP-example-Sham	Mast4:13:102964777-102965191:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102991269	102991671	Mast4:13:102991269-102991671:-1	Unique_TIP-example-Sham	Mast4:13:102991269-102991671:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102920906	102921260	Mast4:13:102920906-102921260:-1	Unique_TIP-example-Sham	Mast4:13:102920906-102921260:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	103280714	103281152	Mast4:13:103280714-103281152:-1	Unique_TIP-example-Sham	Mast4:13:103280714-103281152:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102900167	102900581	Mast4:13:102900167-102900581:-1	Unique_TIP-example-Sham	Mast4:13:102900167-102900581:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	103139933	103171547	Mast4:13:103139933-103171547:-1	Unique_TIP-example-Sham	Mast4:13:103139933-103171547:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	103011222	103011672	Mast4:13:103011222-103011672:-1	Unique_TIP-example-Sham	Mast4:13:103011222-103011672:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102762621	102763059	Mast4:13:102762621-102763059:-1	Unique_TIP-example-Sham	Mast4:13:102762621-102763059:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102966086	102966500	Mast4:13:102966086-102966500:-1	Unique_TIP-example-Sham	Mast4:13:102966086-102966500:-1	TIP-example-Sham	non-juncs
